Year,SL,State/UT,Rape (Sec.376 IPC) (I),Rape (Sec.376 IPC) (V),Rape (Sec.376 IPC) (R),Attempt to Commit Rape (Sec.376/511 IPC) (I),Attempt to Commit Rape (Sec.376/511 IPC) (V),Attempt to Commit Rape (Sec.376/511 IPC) (R),"Murder with Rape/Gang
Rape (I)","Murder with Rape/Gang
Rape (V)","Murder with Rape/Gang
Rape (R)",Rape (Sec.376 IPC) (Total) (I),Rape (Sec.376 IPC) (Total) (V),Rape (Sec.376 IPC) (Total)  (R),"Rape (Sec.376 IPC) Women (18 Yrs.
And above) (I)","Rape (Sec.376 IPC) Women (18 Yrs.
And above)  (V)","Rape (Sec.376 IPC) Women (18 Yrs.
And above)  (R)","Rape (Sec.376 IPC) Girls (Below 18
yrs)  (I)","Rape (Sec.376 IPC) Girls (Below 18
yrs)  (V)","Rape (Sec.376 IPC) Girls (Below 18
yrs)   (R)",Attempt to Commit Rape (Sec. 376/511 IPC) (Total) (I),Attempt to Commit Rape (Sec. 376/511 IPC) (Total) (V),Attempt to Commit Rape (Sec. 376/511 IPC) (Total) (R),"Attempt to Commit Rape (Sec. 376/511 IPC) Women (18 Yrs. And
above) (I)","Attempt to Commit Rape (Sec. 376/511 IPC) Women (18 Yrs. And
above) (V)","Attempt to Commit Rape (Sec. 376/511 IPC) Women (18 Yrs. And
above)  (R)",Attempt to Commit Rape (Sec. 376/511 IPC) Girls (Below 18 yrs) (I),Attempt to Commit Rape (Sec. 376/511 IPC) Girls (Below 18 yrs) (V),Attempt to Commit Rape (Sec. 376/511 IPC) Girls (Below 18 yrs) (R),Total Crime against Women (IPC+SLL) (I),Total Crime against Women (IPC+SLL) (V),Total Crime againstWomen (IPC+SLL) (R),Cases Reported,Child Victims of Rape - Below 6 Years,Child Victims of Rape - 6 Years & Above - Below 12 Years,Child Victims of Rape - 12 Years & Above - Below 16 Years,Child Victims of Rape - 16 Years & Above - Below 18 Years,Total Girl / Child Victims,Women Victims of Rape  - 18 Years & Above - Below 30 Years,Women Victims of Rape - 30 Years & Above - Below 45 Years,Women Victims of Rape - 45 Years & Above - Below 60 Years,Women Victims of Rape - 60 Years & Above,Total Women / Adult Victims,Total Victims (Col.8+Col.13),Cases Offender known to Victim (Total),Cases which Offenders were known to Victim - Family Members,Cases which Offenders were known to Victim - Friends/ Online-Friends or Live in Partners on Pretext of Marriage / Separated Husband,Cases which Offenders were known to Victim - Family Friends/ Neighours/ Employer or Other Known Persons,Cases Offenders Unknown or Not Identified,Total Rape Cases (Known+Unknown Offenders),Percentage Share of Known Cases to Total Rape Cases,Cases Pending Investigation from Previous Year,Cases Reported during the year,Cases Reopened for Investigation,Total Cases for Investigation (Col.3+Col.4+Col.5),Cases Not Investigated Under 157_1_b CRPC,Cases Transferred to Other State or Agency,Cases Withdrawn by the Govt during Investigation,Final Report - Cases Ended as FR Non Cognizable,Final Report - Cases Ended as Final Report False,Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute,Final Report - Cases True but Insufficient Evidence or Untraced or No Clue,Final Report - Cases Abated during Investigation,Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year,Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year,Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17),Total Cases Disposed Off by Police (Col.7+8+ 15+18),Cases Quashed  at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Invsgn.at end of the year (Cols.6-9-19-20),Chargesheeting Rate (Col.18/19*100),Pendency Percentage (Col.22/6*100),Cases Pending Trial from the Previous Year,Cases Sent for Trial during the year,Total Cases for Trial (Col.3+Col.4),Cases Abated by Court,Cases Withdrawn from Prosecution,Cases Compounded or Compromised,Cases Disposed off by Plea Bargaining,Cases Quashed,Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room,Cases Convicted Out of Cases from Previous Year,Cases Convicted Out of Cases during the Year,Cases Convicted (Col.13+Col.14),Cases Discharged,Cases Acquitted,Cases which Trials were Completed (Col.15+Col.16+ Col.17),Cases Disposed off by Courts (Col.11+Col.18),Cases Pending Trial at End of the Year (Col.5-Col.19),Conviction Rate (Col.15/ Col.18)*100,Pendency Percentage (Col.20/Col.5)*100
2021,1,Andhra Pradesh,1188,1204,4.5,162,162,0.6,2,2,0,1188,1204,4.5,574,590,2.2,614,614,2.3,162,162,0.6,127,127,0.5,35,35,0.1,17752,18481,67.2,1188,17,50,259,288,614,463,108,14,5,590,1204,1183,96,570,517,5,1188,99.6,14202,17752,8,31962,0,23,1,5,805,168,82,29,1089,6789,9295,16084,17196,3,14,14762,93.5,46.2,43466,16084,59550,89,0,4688,0,5,4782,13,136,40,176,3,2948,3127,7909,51641,5.6,86.7
2021,2,Arunachal Pradesh,83,83,11.1,9,9,1.2,0,0,0,83,83,11.1,29,29,3.9,54,54,7.2,9,9,1.2,3,3,0.4,6,6,0.8,366,370,49.1,83,1,3,15,35,54,13,5,11,0,29,83,80,14,9,57,3,83,96.4,332,366,0,698,0,0,0,0,6,10,70,0,86,108,190,298,384,1,0,313,77.6,44.8,2729,298,3027,8,4,6,0,0,18,1,20,1,21,32,12,65,83,2944,32.3,97.3
2021,3,Assam,1733,1835,10,561,563,3.3,46,47,0.3,1733,1835,10,1730,1832,10,3,3,0,561,563,3.3,561,563,3.3,0,0,0,29046,29470,168.3,1733,0,1,2,0,3,1306,470,56,0,1832,1835,1709,177,482,1050,24,1733,98.6,27977,29046,8,57031,0,29,0,6,836,6113,8379,283,15617,4577,12968,17545,33191,2,0,23838,52.9,41.8,78562,17545,96107,4,44,150,61,8,267,0,116,32,148,3,3647,3798,4065,92042,3.9,95.8
2021,4,Bihar,786,786,1.3,63,63,0.1,0,0,0,786,786,1.3,786,786,1.3,0,0,0,63,63,0.1,57,57,0.1,6,6,0,17950,18060,30.2,786,0,0,0,0,0,592,176,18,0,786,786,727,44,396,287,59,786,92.5,17353,17950,0,35303,0,0,0,36,599,3718,1103,0,5456,5828,6548,12376,17832,0,0,17471,69.4,49.5,90936,12376,103312,0,0,593,36,0,629,0,435,86,521,31,430,982,1611,101701,53.1,98.4
2021,5,Chhattisgarh,1093,1093,7.4,7,7,0,8,9,0.1,1093,1093,7.4,1093,1093,7.4,0,0,0,7,7,0,6,6,0,1,1,0,7344,7415,49.8,1093,0,0,0,0,0,769,278,40,6,1093,1093,1088,57,650,381,5,1093,99.5,2189,7344,1,9534,1,0,0,3,707,51,55,56,872,976,5723,6699,7572,0,0,1962,88.5,20.6,28523,6699,35222,4,0,0,34,0,38,0,704,115,819,106,1726,2651,2689,32533,30.9,92.4
2021,6,Goa,72,74,9.3,0,0,0,0,0,0,72,74,9.3,25,25,3.2,47,49,6.1,0,0,0,0,0,0,0,0,0,224,258,28.9,72,2,3,24,20,49,17,8,0,0,25,74,68,9,46,13,4,72,94.4,101,224,0,325,0,0,0,1,1,22,28,0,52,54,124,178,230,0,1,95,77.4,29.2,1664,178,1842,8,0,1,0,2,11,0,4,0,4,9,63,76,87,1755,5.3,95.3
2021,7,Gujarat,589,589,1.8,1,1,0,7,7,0,589,589,1.8,582,582,1.7,7,7,0,1,1,0,1,1,0,0,0,0,7348,7422,22.1,589,0,0,2,5,7,422,147,12,1,582,589,537,37,263,237,52,589,91.2,962,7348,2,8312,0,1,0,0,23,171,285,12,491,416,6452,6868,7360,43,78,909,93.3,10.9,91732,6868,98600,11,2,44,0,7,64,6,123,4,127,10,2398,2535,2599,96001,5,97.4
2021,8,Haryana,1716,1716,12.3,235,235,1.7,11,11,0.1,1716,1716,12.3,1716,1716,12.3,0,0,0,235,235,1.7,235,235,1.7,0,0,0,16658,16826,119.7,1716,0,0,0,0,0,1045,636,31,4,1716,1716,1697,128,523,1046,19,1716,98.9,2672,16658,5,19335,0,3,0,2,6426,1,362,0,6791,1533,7524,9057,15851,4,26,3480,57.1,18,30071,9057,39128,4,0,0,0,8,12,0,457,10,467,0,2174,2641,2653,36475,17.7,93.2
2021,9,Himachal Pradesh,358,360,9.8,3,3,0.1,0,0,0,358,360,9.8,143,143,3.9,215,217,5.9,3,3,0.1,1,1,0,2,2,0.1,1599,1614,43.8,358,10,21,93,93,217,85,47,9,2,143,360,353,45,177,131,5,358,98.6,401,1599,0,2000,0,0,0,0,257,96,23,17,393,282,998,1280,1673,1,0,326,76.5,16.3,8136,1280,9416,3,23,9,0,45,80,0,70,2,72,1,266,339,419,8997,21.2,95.6
2021,10,Jharkhand,1425,1425,7.6,164,164,0.9,20,22,0.1,1425,1425,7.6,1130,1130,6,295,295,1.6,164,164,0.9,159,159,0.8,5,5,0,8110,8121,43,1425,0,2,62,231,295,901,218,10,1,1130,1425,1298,70,560,668,127,1425,91.1,9548,8110,0,17658,0,0,0,63,72,730,587,21,1473,2254,3525,5779,7252,0,0,10406,79.7,58.9,23157,5779,28936,8,2,61,2,0,73,0,251,355,606,35,629,1270,1343,27593,47.7,95.4
